date,warehouse_id,product_id,on_hand_qty,demand_qty,receipt_qty,stockout_flag,inventory_value
2025-01-01,W01,P0045,283,12,0,0,31209.24
2025-01-02,W01,P0045,268,15,0,0,29555.04
2025-01-03,W01,P0045,259,9,0,0,28562.52
2025-01-04,W01,P0045,255,4,0,0,28121.4
2025-01-05,W01,P0045,244,11,0,0,26908.32
2025-01-06,W01,P0045,238,6,0,0,26246.64
2025-01-07,W01,P0045,231,7,0,0,25474.68
2025-01-08,W01,P0045,225,6,0,0,24813.0
2025-01-09,W01,P0045,223,2,0,0,24592.44
2025-01-10,W01,P0045,288,7,72,0,31760.64
2025-01-11,W01,P0045,273,15,0,0,30106.44
2025-01-12,W01,P0045,256,17,0,0,28231.68
2025-01-13,W01,P0045,244,12,0,0,26908.32
2025-01-14,W01,P0045,273,8,37,0,30106.44
2025-01-15,W01,P0045,267,6,0,0,29444.760000000002
2025-01-16,W01,P0045,257,10,0,0,28341.96
2025-01-17,W01,P0045,308,8,59,0,33966.24
2025-01-18,W01,P0045,291,17,0,0,32091.48
2025-01-19,W01,P0045,366,8,83,0,40362.48
2025-01-20,W01,P0045,362,4,0,0,39921.36
2025-01-21,W01,P0045,413,13,64,0,45545.64
2025-01-22,W01,P0045,407,6,0,0,44883.96
2025-01-23,W01,P0045,399,8,0,0,44001.72
2025-01-24,W01,P0045,394,5,0,0,43450.32
2025-01-25,W01,P0045,379,15,0,0,41796.12
2025-01-26,W01,P0045,421,13,55,0,46427.88
2025-01-27,W01,P0045,421,0,0,0,46427.88
2025-01-28,W01,P0045,401,20,0,0,44222.28
2025-01-29,W01,P0045,392,9,0,0,43229.76
2025-01-30,W01,P0045,391,1,0,0,43119.48
2025-01-31,W01,P0045,384,7,0,0,42347.520000000004
2025-02-01,W01,P0045,368,16,0,0,40583.04
2025-02-02,W01,P0045,444,7,83,0,48964.32
2025-02-03,W01,P0045,426,18,0,0,46979.28
2025-02-04,W01,P0045,422,4,0,0,46538.16
2025-02-05,W01,P0045,408,14,0,0,44994.24
2025-02-06,W01,P0045,403,5,0,0,44442.840000000004
2025-02-07,W01,P0045,476,8,81,0,52493.28
2025-02-08,W01,P0045,473,3,0,0,52162.44
2025-02-09,W01,P0045,467,6,0,0,51500.76
2025-02-10,W01,P0045,459,8,0,0,50618.520000000004
2025-02-11,W01,P0045,447,12,0,0,49295.16
2025-02-12,W01,P0045,436,11,0,0,48082.08
2025-02-13,W01,P0045,424,12,0,0,46758.72
2025-02-14,W01,P0045,418,6,0,0,46097.04
2025-02-15,W01,P0045,403,15,0,0,44442.840000000004
2025-02-16,W01,P0045,388,15,0,0,42788.64
2025-02-17,W01,P0045,464,6,82,0,51169.92
2025-02-18,W01,P0045,458,6,0,0,50508.24
2025-02-19,W01,P0045,446,12,0,0,49184.88
2025-02-20,W01,P0045,439,7,0,0,48412.92
2025-02-21,W01,P0045,435,4,0,0,47971.8
2025-02-22,W01,P0045,432,3,0,0,47640.96
2025-02-23,W01,P0045,432,0,0,0,47640.96
2025-02-24,W01,P0045,457,8,33,0,50397.96
2025-02-25,W01,P0045,448,9,0,0,49405.44
2025-02-26,W01,P0045,427,21,0,0,47089.56
2025-02-27,W01,P0045,418,9,0,0,46097.04
2025-02-28,W01,P0045,411,7,0,0,45325.08
2025-03-01,W01,P0045,403,8,0,0,44442.840000000004
2025-03-02,W01,P0045,476,7,80,0,52493.28
2025-03-03,W01,P0045,469,7,0,0,51721.32
2025-03-04,W01,P0045,489,11,31,0,53926.92
2025-03-05,W01,P0045,477,12,0,0,52603.56
2025-03-06,W01,P0045,502,3,28,0,55360.56
2025-03-07,W01,P0045,491,11,0,0,54147.48
2025-03-08,W01,P0045,475,16,0,0,52383.0
2025-03-09,W01,P0045,472,3,0,0,52052.16
