po_id,order_date,supplier_id,product_id,warehouse_id,ordered_qty,received_qty,unit_cost,freight_cost,promised_date,actual_delivery_date,defect_qty,delivery_days_late,is_late,fill_rate,defect_rate,purchase_value,landed_cost,data_complete
PO000001,2024-01-18,S021,P0011,W02,48,46,558.22,415.49,2024-02-16,2024-02-13,0,-3.0,0,0.9583333333333334,0.0,26794.56,27210.050000000003,True
PO000002,2025-05-01,S018,P0077,W01,66,63,359.99,1217.65,2025-05-17,2025-05-14,1,-3.0,0,0.9545454545454546,0.015873015873015872,23759.34,24976.99,True
PO000003,2024-04-09,S003,P0013,W04,175,169,87.55,446.01,2024-04-25,2024-04-22,1,-3.0,0,0.9657142857142857,0.005917159763313609,15321.25,15767.26,True
PO000004,2025-04-20,S020,P0047,W03,203,198,272.92,1212.59,2025-05-09,2025-05-10,1,1.0,1,0.9753694581280788,0.005050505050505051,55402.76,56615.35,True
PO000005,2025-03-31,S019,P0115,W01,149,145,277.83,1848.16,2025-04-07,2025-04-06,0,-1.0,0,0.9731543624161074,0.0,41396.67,43244.83,True
PO000006,2024-03-07,S023,P0093,W04,91,90,479.7,1514.27,2024-03-26,2024-03-28,0,2.0,1,0.989010989010989,0.0,43652.7,45166.969999999994,True
PO000007,2025-05-12,S024,P0062,W01,181,179,493.18,3369.99,2025-05-21,2025-05-18,4,-3.0,0,0.988950276243094,0.0223463687150838,89265.58,92635.57,True
PO000008,2025-10-17,S024,P0076,W01,60,56,631.28,2316.02,2025-10-26,2025-10-23,0,-3.0,0,0.9333333333333333,0.0,37876.799999999996,40192.81999999999,True
PO000009,2025-09-23,S002,P0080,W02,32,32,255.24,554.36,2025-10-04,2025-10-01,0,-3.0,0,1.0,0.0,8167.68,8722.04,True
PO000010,2024-01-22,S016,P0096,W01,87,86,224.34,1274.68,2024-02-06,2024-02-14,0,8.0,1,0.9885057471264368,0.0,19517.58,20792.260000000002,True
PO000011,2024-06-28,S024,P0072,W02,105,104,849.63,4462.42,2024-07-07,2024-07-04,2,-3.0,0,0.9904761904761905,0.019230769230769232,89211.15,93673.56999999999,True
PO000012,2024-06-25,S025,P0062,W02,136,132,493.18,1585.67,2024-07-21,2024-07-19,1,-2.0,0,0.9705882352941176,0.007575757575757576,67072.48,68658.15,True
PO000013,2024-11-27,S014,P0010,W01,152,152,598.92,3337.15,2024-12-31,2024-12-28,2,-3.0,0,1.0,0.013157894736842105,91035.84,94372.98999999999,True
PO000014,2024-04-14,S023,P0116,W01,160,155,879.17,5986.59,2024-05-03,2024-04-30,0,-3.0,0,0.96875,0.0,140667.19999999998,146653.78999999998,True
