po_id,order_date,supplier_id,product_id,warehouse_id,ordered_qty,received_qty,unit_cost,freight_cost,promised_date,actual_delivery_date,defect_qty
PO000001,2024-01-18,S021,P0011,W02,48,46,558.22,415.49,2024-02-16,2024-02-13,0
PO000002,2025-05-01,S018,P0077,W01,66,63,359.99,1217.65,2025-05-17,2025-05-14,1
PO000003,2024-04-09,S003,P0013,W04,175,169,87.55,446.01,2024-04-25,2024-04-22,1
PO000004,2025-04-20,S020,P0047,W03,203,198,272.92,1212.59,2025-05-09,2025-05-10,1
PO000005,2025-03-31,S019,P0115,W01,149,145,277.83,1848.16,2025-04-07,2025-04-06,0
PO000006,2024-03-07,S023,P0093,W04,91,90,479.7,1514.27,2024-03-26,2024-03-28,0
PO000007,2025-05-12,S024,P0062,W01,181,179,493.18,3369.99,2025-05-21,2025-05-18,4
PO000008,2025-10-17,S024,P0076,W01,60,56,631.28,2316.02,2025-10-26,2025-10-23,0
PO000009,2025-09-23,S002,P0080,W02,32,32,255.24,554.36,2025-10-04,2025-10-01,0
PO000010,2024-01-22,S016,P0096,W01,87,86,224.34,1274.68,2024-02-06,2024-02-14,0
PO000011,2024-06-28,S024,P0072,W02,105,104,849.63,4462.42,2024-07-07,2024-07-04,2
PO000012,2024-06-25,S025,P0062,W02,136,132,493.18,1585.67,2024-07-21,2024-07-19,1
PO000013,2024-11-27,S014,P0010,W01,152,152,598.92,3337.15,2024-12-31,2024-12-28,2
PO000014,2024-04-14,S023,P0116,W01,160,155,879.17,5986.59,2024-05-03,2024-04-30,0
PO000015,2025-09-16,S023,P0068,W03,48,46,942.82,2173.85,2025-10-05,2025-10-02,1
PO000016,2025-07-21,S001,P0035,W02,147,144,454.03,1602.07,2025-08-18,2025-08-18,5
PO000017,2025-08-13,S023,P0017,W03,14,14,318.73,147.01,2025-09-01,2025-08-29,0
PO000018,2024-05-24,S016,P0073,W04,203,201,496.76,6591.98,2024-06-08,2024-06-05,4
PO000019,2024-01-11,S015,P0094,W02,100,100,143.55,1066.36,2024-01-28,2024-01-25,0
PO000020,2025-10-27,S005,P0097,W01,210,203,132.18,797.27,2025-11-16,2025-11-15,2
PO000021,2024-07-30,S023,P0107,W01,191,185,131.46,1512.19,2024-08-18,2024-08-15,1
PO000022,2025-04-24,S008,P0108,W02,47,45,124.58,183.5,2025-05-03,2025-04-30,1
PO000023,2025-10-26,S011,P0075,W01,28,27,735.24,485.53,2025-11-28,2025-12-03,1
PO000024,2024-01-27,S008,P0114,W01,201,197,908.2,4313.43,2024-02-05,2024-02-02,1
PO000025,2024-01-05,S025,P0009,W01,110,106,415.03,2984.86,2024-01-31,2024-01-31,2
PO000026,2024-01-04,S013,P0048,W01,27,27,629.18,723.36,2024-01-20,2024-01-17,0
PO000027,2024-04-24,S003,P0059,W03,135,135,306.74,2190.83,2024-05-10,2024-05-07,5
PO000028,2024-02-07,S001,P0084,W03,210,207,790.91,11325.42,2024-03-06,2024-03-03,7
PO000029,2025-08-22,S025,P0036,W02,134,131,259.49,1766.52,2025-09-17,2025-09-16,0
PO000030,2025-03-18,S006,P0035,W02,60,60,454.03,411.76,2025-03-24,2025-03-31,2
PO000031,2025-12-17,S020,P0109,W02,77,75,881.76,3523.18,2026-01-05,2026-01-02,0
PO000032,2025-08-08,S001,P0078,W02,62,61,96.99,114.78,2025-09-05,2025-09-03,1
PO000033,2025-12-05,S023,P0077,W02,120,118,359.99,1825.78,2025-12-24,2025-12-29,2
PO000034,2024-06-23,S017,P0023,W01,95,92,555.36,3240.17,2024-07-26,2024-08-08,4
PO000035,2024-07-29,S006,P0061,W02,78,77,282.04,1435.86,2024-08-04,2024-08-01,2
PO000036,2025-09-12,S023,P0051,W01,44,41,109.49,193.43,2025-10-01,2025-09-28,0
PO000037,2024-06-28,S008,P0075,W02,11,10,735.24,406.2,2024-07-07,2024-07-11,0
PO000038,2024-02-11,S025,P0111,W04,182,178,291.49,3287.13,2024-03-08,2024-03-09,3
PO000039,2025-05-04,S015,P0034,W02,177,175,546.57,3173.16,2025-05-21,2025-05-24,2
PO000040,2025-08-08,S012,P0098,W01,31,31,646.35,993.4,2025-09-05,2025-09-09,0
PO000041,2025-12-08,S002,P0077,W03,53,51,359.99,538.5,2025-12-19,2025-12-22,0
PO000042,2025-11-09,S007,P0060,W03,99,97,905.63,2509.31,2025-11-30,2025-12-01,0
PO000043,2024-03-28,S002,P0115,W04,133,128,277.83,1115.05,2024-04-08,2024-04-05,3
PO000044,2025-07-18,S022,P0018,W01,200,196,144.14,1251.97,2025-07-28,2025-07-25,2
PO000045,2025-09-10,S003,P0082,W01,154,151,234.99,748.2,2025-09-26,2025-09-23,2
PO000046,2025-05-25,S003,P0048,W02,141,137,629.18,5367.99,2025-06-10,2025-06-14,2
PO000047,2025-08-22,S004,P0082,W02,164,159,234.99,1311.19,2025-09-10,2025-09-18,4
PO000048,2025-09-04,S025,P0017,W02,135,133,318.73,2729.78,2025-09-30,2025-09-29,3
PO000049,2024-11-22,S025,P0089,W01,204,197,193.04,865.51,2024-12-18,2024-12-15,2
PO000050,2024-01-30,S018,P0009,W01,218,214,415.03,5081.69,2024-02-15,2024-02-19,2
PO000051,2024-11-29,S002,P0042,W02,102,99,852.18,6211.98,2024-12-10,2024-12-07,1
PO000052,2024-05-27,S013,P0109,W02,9,9,881.76,546.56,2024-06-12,2024-06-09,1
PO000053,2024-03-24,S024,P0076,W02,218,213,631.28,9508.36,2024-04-02,2024-04-07,3
PO000054,2024-04-01,S003,P0059,W01,73,73,306.74,654.9,2024-04-17,2024-04-19,0
PO000055,2025-05-24,S020,P0040,W04,62,61,28.36,80.07,2025-06-12,2025-06-09,0
PO000056,2025-01-03,S001,P0011,W01,31,31,558.22,1267.9,2025-01-31,2025-01-28,1
PO000057,2025-01-29,S021,P0014,W01,168,165,399.69,1445.09,2025-02-27,2025-02-24,2
PO000058,2025-06-28,S014,P0087,W01,44,42,572.62,1667.48,2025-08-01,2025-07-29,2
PO000059,2025-02-04,S023,P0033,W02,212,205,891.43,10174.52,2025-02-23,2025-02-20,4
PO000060,2025-04-05,S011,P0009,W03,51,49,415.03,685.92,2025-05-08,2025-05-05,1
PO000061,2024-03-03,S020,P0053,W01,20,19,224.86,130.91,2024-03-22,2024-03-19,1
PO000062,2025-09-14,S022,P0048,W03,139,134,629.18,6419.9,2025-09-24,2025-09-27,3
PO000063,2024-11-24,S009,P0115,W03,49,49,277.83,242.15,2024-12-22,2025-01-04,3
PO000064,2024-04-23,S017,P0028,W01,63,62,462.33,1495.27,2024-05-26,2024-06-09,1
PO000065,2025-08-17,S012,P0033,W02,27,27,891.43,832.91,2025-09-14,2025-09-14,1
PO000066,2025-06-21,S011,P0020,W02,147,141,561.56,4837.11,2025-07-24,2025-07-21,3
PO000067,2024-02-08,S020,P0023,W04,52,50,555.36,1929.9,2024-02-27,2024-03-01,2
PO000068,2024-05-21,S006,P0065,W02,163,159,163.06,1709.34,2024-05-27,2024-05-24,1
PO000069,2024-01-12,S003,P0027,W03,60,57,910.96,3570.84,2024-01-28,2024-01-25,3
PO000070,2024-07-16,S013,P0087,W04,91,91,572.62,3725.07,2024-08-01,2024-07-29,1
PO000071,2024-03-14,S021,P0099,W03,110,110,122.77,846.65,2024-04-12,2024-04-12,1
PO000072,2025-06-02,S005,P0059,W02,120,119,306.74,1861.85,2025-06-22,2025-06-19,2
PO000073,2025-01-16,S009,P0029,W01,182,179,745.34,3909.05,2025-02-13,2025-02-15,12
PO000074,2025-12-17,S017,P0099,W02,33,33,122.77,130.23,2026-01-19,2026-01-26,0
PO000075,2025-07-01,S012,P0116,W01,53,53,879.17,1189.2,2025-07-29,2025-07-29,0
PO000076,2025-03-23,S016,P0111,W01,166,162,291.49,2678.6,2025-04-07,2025-04-04,2
PO000077,2025-01-07,S014,P0111,W01,188,183,291.49,1062.0,2025-02-10,2025-02-21,4
PO000078,2024-02-09,S021,P0097,W02,95,93,132.18,266.51,2024-03-09,2024-03-06,0
PO000079,2024-02-21,S022,P0089,W01,6,6,193.04,52.78,2024-03-02,2024-03-04,0
PO000080,2025-03-26,S012,P0115,W01,184,178,277.83,1788.98,2025-04-23,2025-04-20,5
PO000081,2024-01-04,S011,P0041,W02,136,131,786.37,7501.65,2024-02-06,2024-02-07,4
PO000082,2024-01-31,S007,P0112,W02,118,116,468.25,3568.81,2024-02-21,2024-02-18,1
PO000083,2024-06-09,S012,P0003,W02,88,88,296.21,1014.12,2024-07-07,2024-07-05,1
PO000084,2025-10-08,S021,P0100,W01,154,151,484.96,5136.72,2025-11-06,2025-11-14,2
PO000085,2024-12-01,S013,P0041,W01,67,65,786.37,2635.75,2024-12-17,2024-12-15,1
PO000086,2025-06-02,S018,P0036,W02,82,82,259.49,914.46,2025-06-18,2025-06-15,1
PO000087,2024-10-27,S011,P0082,W02,170,167,234.99,2555.84,2024-11-29,2024-11-26,4
PO000088,2024-05-06,S018,P0021,W04,84,81,168.7,1049.44,2024-05-22,2024-05-21,2
PO000089,2024-09-28,S018,P0120,W01,208,203,107.76,1318.92,2024-10-14,2024-10-13,3
PO000090,2024-03-08,S014,P0088,W01,98,94,831.84,4641.27,2024-04-11,2024-04-09,6
PO000091,2025-07-17,S024,P0003,W01,125,124,296.21,2283.45,2025-07-26,2025-07-23,4
PO000092,2024-05-14,S022,P0102,W01,141,138,555.41,3210.28,2024-05-24,2024-06-01,1
PO000093,2024-10-02,S004,P0013,W03,155,150,87.55,819.93,2024-10-21,2024-11-06,3
PO000094,2025-12-17,S006,P0099,W01,113,111,122.77,630.65,2025-12-23,2025-12-24,4
PO000095,2025-03-08,S024,P0098,W03,83,81,646.35,3700.4,2025-03-17,2025-03-14,2
PO000096,2024-12-01,S011,P0078,W01,177,173,96.99,1143.79,2025-01-03,2025-01-11,4
PO000097,2025-01-31,S008,P0073,W02,158,156,496.76,1675.53,2025-02-09,2025-02-13,2
PO000098,2025-07-27,S020,P0100,W03,16,16,484.96,321.81,2025-08-15,2025-08-14,0
PO000099,2024-07-05,S016,P0103,W04,139,137,196.19,1555.23,2024-07-20,2024-07-24,0
PO000100,2025-04-10,S004,P0085,W01,198,194,152.39,646.11,2025-04-29,2025-05-04,2
PO000101,2025-09-29,S003,P0021,W03,125,123,168.7,732.96,2025-10-15,2025-10-12,2
PO000102,2025-02-22,S021,P0080,W01,204,200,255.24,1890.34,2025-03-23,2025-03-22,5
PO000103,2024-11-22,S020,P0025,W02,88,85,564.64,2720.94,2024-12-11,2024-12-08,1
PO000104,2024-04-16,S009,P0006,W02,57,56,814.93,935.48,2024-05-14,2024-05-15,4
PO000105,2024-06-30,S022,P0019,W02,112,108,105.41,778.61,2024-07-10,2024-07-11,1
PO000106,2025-11-22,S004,P0056,W02,26,25,357.41,368.52,2025-12-11,2025-12-21,0
PO000107,2025-01-30,S022,P0116,W01,18,18,879.17,245.77,2025-02-09,2025-02-06,0
PO000108,2024-08-08,S002,P0005,W03,127,126,174.52,1572.2,2024-08-19,2024-08-16,1
PO000109,2024-11-01,S016,P0009,W02,11,11,415.03,236.55,2024-11-16,2024-11-13,0
PO000110,2025-02-26,S022,P0012,W02,18,18,620.16,286.16,2025-03-08,2025-03-05,0
PO000111,2025-01-27,S016,P0023,W02,102,100,555.36,3698.22,2025-02-11,2025-02-08,1
PO000112,2025-05-26,S020,P0065,W02,54,54,163.06,561.88,2025-06-14,2025-06-17,3
PO000113,2024-07-07,S009,P0099,W02,43,42,122.77,352.64,2024-08-04,2024-08-10,1
PO000114,2025-04-19,S008,P0006,W01,114,111,814.93,4662.58,2025-04-28,2025-04-25,2
PO000115,2024-11-19,S007,P0097,W02,75,72,132.18,500.93,2024-12-10,2024-12-08,0
PO000116,2025-11-18,S003,P0110,W04,136,134,382.52,3427.92,2025-12-04,2025-12-01,2
PO000117,2024-04-25,S007,P0010,W03,96,96,598.92,3021.55,2024-05-16,2024-05-14,2
PO000118,2024-04-18,S007,P0055,W03,46,44,530.67,369.37,2024-05-09,2024-05-09,0
PO000119,2024-12-03,S019,P0098,W01,156,151,646.35,5552.06,2024-12-10,2024-12-11,2
PO000120,2025-01-06,S006,P0084,W02,205,205,790.91,11631.29,2025-01-12,2025-01-13,3
